Trans #,Type,Date,Num,P. O. #,Name,Source Name,Description,Due Date,Item,Account,Class,Tax Code,Clr,Split,Pay Meth,Qty,Debit,Credit,Amount,Balance,Account Type,Tax Amount
"363,318",Bill,03/07/2023,363318,,UHI Investments Pty Ltd,UHI Investments Pty Ltd,Dividend July,03/07/2023,,1396 · Dividends Paid,,,,1282 · Accounts Payable,,,"10,000.00",,"10,000.00",#REF!,Equity,0
"363,398",Bill,03/07/2023,480,,Russell Clark Enterprises,Russell Clark Enterprises,Deposit 10% as per contract on factory fit-out,13/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"49,389.29","-49,389.29",#REF!,Accounts Payable,
"363,398",Bill,03/07/2023,480,,Russell Clark Enterprises,Russell Clark Enterprises,Progress payment on fixout as per contract,13/07/2023,,1998 · Showroom Fitout,,NCG,,1282 · Accounts Payable,,,"44,899.35",,"44,899.35",#REF!,Expense,"4,489.94"
"363,398",Bill,03/07/2023,480,,Australian Tax Office,Russell Clark Enterprises,Non-Cap. Acq. - Inc GST,13/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,"4,489.94",,"4,489.94",#REF!,Other Current Liability,
"363,400",Bill,03/07/2023,363400,,BEMEKO Pty Ltd,BEMEKO Pty Ltd,,13/07/2023,,1282 · Accounts Payable,,,,1396 · Dividends Paid,,,,"10,000.00","-10,000.00",#REF!,Accounts Payable,
"363,400",Bill,03/07/2023,363400,,BEMEKO Pty Ltd,BEMEKO Pty Ltd,Dividend July,13/07/2023,,1396 · Dividends Paid,,,,1282 · Accounts Payable,,,"10,000.00",,"10,000.00",#REF!,Equity,0
"363,512",Bill,05/07/2023,4980,,Henzells Agency Pty Ltd,Henzells Agency Pty Ltd,,19/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"6,525.55","-6,525.55",#REF!,Accounts Payable,
"363,512",Bill,05/07/2023,4980,,Henzells Agency Pty Ltd,Henzells Agency Pty Ltd,01.08.23-31.08.23,19/07/2023,,1921 · Rent,,NCG,,1282 · Accounts Payable,,,"5,932.32",,"5,932.32",#REF!,Expense,593.23
"363,512",Bill,05/07/2023,4980,,Australian Tax Office,Henzells Agency Pty Ltd,Non-Cap. Acq. - Inc GST,19/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,593.23,,593.23,#REF!,Other Current Liability,
"363,513",Bill,05/07/2023,69,,Nev Schurmann,Nev Schurmann,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,671,-671,#REF!,Accounts Payable,
"363,513",Bill,05/07/2023,69,,Nev Schurmann,Nev Schurmann,Flooring Installation,15/07/2023,,1442 · Purchases,,NRG,,1282 · Accounts Payable,,,671,,671,#REF!,Cost of Goods Sold,0
"363,513",Bill,05/07/2023,69,,Australian Tax Office,Nev Schurmann,Not Registered for GST,15/07/2023,NRG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,0,,0,#REF!,Other Current Liability,
"363,514",Bill,05/07/2023,27,,Michael Avery,Michael Avery,,05/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"2,370.21","-2,370.21",#REF!,Accounts Payable,
"363,514",Bill,05/07/2023,27,,Michael Avery,Michael Avery,Floor Installations,05/07/2023,,1442 · Purchases,,NCG,,1282 · Accounts Payable,,,"2,154.74",,"2,154.74",#REF!,Cost of Goods Sold,215.47
"363,514",Bill,05/07/2023,27,,Australian Tax Office,Michael Avery,Non-Cap. Acq. - Inc GST,05/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,215.47,,215.47,#REF!,Other Current Liability,
"363,515",Bill,05/07/2023,29,,Jake Trotter,Jake Trotter,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"1,113.42","-1,113.42",#REF!,Accounts Payable,
"363,515",Bill,05/07/2023,29,,Jake Trotter,Jake Trotter,Flooring installation,15/07/2023,,1442 · Purchases,,NCF,,1282 · Accounts Payable,,,"1,113.42",,"1,113.42",#REF!,Cost of Goods Sold,0
"363,515",Bill,05/07/2023,29,,Australian Tax Office,Jake Trotter,Non-Cap. Acq. - GST Free,15/07/2023,NCF,2200 · Tax Payable,,,,1282 · Accounts Payable,,,0,,0,#REF!,Other Current Liability,
"363,516",Bill,05/07/2023,51,,The France Family Trust,The France Family Trust,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,386.4,-386.4,#REF!,Accounts Payable,
"363,516",Bill,05/07/2023,51,,The France Family Trust,The France Family Trust,Flooring Installations,15/07/2023,,1442 · Purchases,,NRG,,1282 · Accounts Payable,,,386.4,,386.4,#REF!,Cost of Goods Sold,0
"363,516",Bill,05/07/2023,51,,Australian Tax Office,The France Family Trust,Not Registered for GST,15/07/2023,NRG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,0,,0,#REF!,Other Current Liability,
"363,517",Bill,05/07/2023,78,,Shawn Hills,Shawn Hills,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,555.43,-555.43,#REF!,Accounts Payable,
"363,517",Bill,05/07/2023,78,,Shawn Hills,Shawn Hills,Flooring installation,15/07/2023,,1442 · Purchases,,NRG,,1282 · Accounts Payable,,,555.43,,555.43,#REF!,Cost of Goods Sold,0
"363,517",Bill,05/07/2023,78,,Australian Tax Office,Shawn Hills,Not Registered for GST,15/07/2023,NRG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,0,,0,#REF!,Other Current Liability,
"363,524",Bill,05/07/2023,363524,,wholesalecomms,wholesalecomms,,19/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,171.17,-171.17,#REF!,Accounts Payable,
"363,524",Bill,05/07/2023,363524,,wholesalecomms,wholesalecomms,,19/07/2023,,1924 · Telephone,,NCG,,1282 · Accounts Payable,,,155.61,,155.61,#REF!,Expense,15.56
"363,524",Bill,05/07/2023,363524,,Australian Tax Office,wholesalecomms,Non-Cap. Acq. - Inc GST,19/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,15.56,,15.56,#REF!,Other Current Liability,
"363,526",Bill,05/07/2023,5958345,,Bremick Fasteners,Bremick Fasteners,,04/08/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"1,173.95","-1,173.95",#REF!,Accounts Payable,
"363,526",Bill,05/07/2023,5958345,,Bremick Fasteners,Bremick Fasteners,,04/08/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,"1,067.23",,"1,067.23",#REF!,Cost of Goods Sold,106.72
"363,526",Bill,05/07/2023,5958345,,Australian Tax Office,Bremick Fasteners,Non-Cap. Acq. - Inc GST,04/08/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,106.72,,106.72,#REF!,Other Current Liability,
"363,527",Bill,05/07/2023,5953426,,Bremick Fasteners,Bremick Fasteners,,04/08/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,275.32,-275.32,#REF!,Accounts Payable,
"363,527",Bill,05/07/2023,5953426,,Bremick Fasteners,Bremick Fasteners,,04/08/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,250.29,,250.29,#REF!,Cost of Goods Sold,25.03
"363,527",Bill,05/07/2023,5953426,,Australian Tax Office,Bremick Fasteners,Non-Cap. Acq. - Inc GST,04/08/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,25.03,,25.03,#REF!,Other Current Liability,
"363,528",Bill,05/07/2023,5948881,,Bremick Fasteners,Bremick Fasteners,,04/08/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,326.83,-326.83,#REF!,Accounts Payable,
"363,528",Bill,05/07/2023,5948881,,Bremick Fasteners,Bremick Fasteners,,04/08/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,297.12,,297.12,#REF!,Cost of Goods Sold,29.71
"363,528",Bill,05/07/2023,5948881,,Australian Tax Office,Bremick Fasteners,Non-Cap. Acq. - Inc GST,04/08/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,29.71,,29.71,#REF!,Other Current Liability,
"363,529",Bill,05/07/2023,5946462,,Bremick Fasteners,Bremick Fasteners,,04/08/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,492.15,-492.15,#REF!,Accounts Payable,
"363,529",Bill,05/07/2023,5946462,,Bremick Fasteners,Bremick Fasteners,,04/08/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,447.41,,447.41,#REF!,Cost of Goods Sold,44.74
"363,529",Bill,05/07/2023,5946462,,Australian Tax Office,Bremick Fasteners,Non-Cap. Acq. - Inc GST,04/08/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,44.74,,44.74,#REF!,Other Current Liability,
"363,530",Bill,05/07/2023,5946311,,Bremick Fasteners,Bremick Fasteners,,04/08/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,435.2,-435.2,#REF!,Accounts Payable,
"363,530",Bill,05/07/2023,5946311,,Bremick Fasteners,Bremick Fasteners,,04/08/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,395.64,,395.64,#REF!,Cost of Goods Sold,39.56
"363,530",Bill,05/07/2023,5946311,,Australian Tax Office,Bremick Fasteners,Non-Cap. Acq. - Inc GST,04/08/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,39.56,,39.56,#REF!,Other Current Liability,
"363,531",Bill,05/07/2023,5939795,,Bremick Fasteners,Bremick Fasteners,,04/08/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,253.03,-253.03,#REF!,Accounts Payable,
"363,531",Bill,05/07/2023,5939795,,Bremick Fasteners,Bremick Fasteners,,04/08/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,230.03,,230.03,#REF!,Cost of Goods Sold,23
"363,531",Bill,05/07/2023,5939795,,Australian Tax Office,Bremick Fasteners,Non-Cap. Acq. - Inc GST,04/08/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,23,,23,#REF!,Other Current Liability,
"363,532",Bill,05/07/2023,5939636,,Bremick Fasteners,Bremick Fasteners,,04/08/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,320.92,-320.92,#REF!,Accounts Payable,
"363,532",Bill,05/07/2023,5939636,,Bremick Fasteners,Bremick Fasteners,,04/08/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,291.75,,291.75,#REF!,Cost of Goods Sold,29.17
"363,532",Bill,05/07/2023,5939636,,Australian Tax Office,Bremick Fasteners,Non-Cap. Acq. - Inc GST,04/08/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,29.17,,29.17,#REF!,Other Current Liability,
"363,533",Bill,05/07/2023,R2738,,Coast Wide Certification,Coast Wide Certification,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,320,-320,#REF!,Accounts Payable,
"363,533",Bill,05/07/2023,R2738,,Coast Wide Certification,Coast Wide Certification,Daniel Nicholls,15/07/2023,,"1439 · Licences, Fees and Permits",,NCG,,1282 · Accounts Payable,,,290.91,,290.91,#REF!,Cost of Goods Sold,29.09
"363,533",Bill,05/07/2023,R2738,,Australian Tax Office,Coast Wide Certification,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,29.09,,29.09,#REF!,Other Current Liability,
"363,534",Bill,05/07/2023,R23414,,Coast Wide Certification,Coast Wide Certification,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"1,000.00","-1,000.00",#REF!,Accounts Payable,
"363,534",Bill,05/07/2023,R23414,,Coast Wide Certification,Coast Wide Certification,9 Sunline court,15/07/2023,,"1439 · Licences, Fees and Permits",,NCG,,1282 · Accounts Payable,,,909.09,,909.09,#REF!,Cost of Goods Sold,90.91
"363,534",Bill,05/07/2023,R23414,,Australian Tax Office,Coast Wide Certification,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,90.91,,90.91,#REF!,Other Current Liability,
"363,535",Bill,05/07/2023,R23413,,Coast Wide Certification,Coast Wide Certification,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"1,000.00","-1,000.00",#REF!,Accounts Payable,
"363,535",Bill,05/07/2023,R23413,,Coast Wide Certification,Coast Wide Certification,65 Elizabeth street,15/07/2023,,"1439 · Licences, Fees and Permits",,NCG,,1282 · Accounts Payable,,,909.09,,909.09,#REF!,Cost of Goods Sold,90.91
"363,535",Bill,05/07/2023,R23413,,Australian Tax Office,Coast Wide Certification,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,90.91,,90.91,#REF!,Other Current Liability,
"363,536",Bill,05/07/2023,24002,,River Heads Flooring,River Heads Flooring,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"3,181.40","-3,181.40",#REF!,Accounts Payable,
"363,536",Bill,05/07/2023,24002,,River Heads Flooring,River Heads Flooring,Flooring installation,15/07/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,"2,892.18",,"2,892.18",#REF!,Cost of Goods Sold,289.22
"363,536",Bill,05/07/2023,24002,,Australian Tax Office,River Heads Flooring,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,289.22,,289.22,#REF!,Other Current Liability,
"363,537",Bill,05/07/2023,24001,,River Heads Flooring,River Heads Flooring,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"3,551.72","-3,551.72",#REF!,Accounts Payable,
"363,537",Bill,05/07/2023,24001,,River Heads Flooring,River Heads Flooring,Flooring installation,15/07/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,"3,228.84",,"3,228.84",#REF!,Cost of Goods Sold,322.88
"363,537",Bill,05/07/2023,24001,,Australian Tax Office,River Heads Flooring,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,322.88,,322.88,#REF!,Other Current Liability,
"363,538",Bill,05/07/2023,1794-50530,,Superior Timber Floors QLD,Superior Timber Floors QLD,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"1,772.06","-1,772.06",#REF!,Accounts Payable,
"363,538",Bill,05/07/2023,1794-50530,,Superior Timber Floors QLD,Superior Timber Floors QLD,Flooring Installation,15/07/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,"1,610.96",,"1,610.96",#REF!,Cost of Goods Sold,161.1
"363,538",Bill,05/07/2023,1794-50530,,Australian Tax Office,Superior Timber Floors QLD,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,161.1,,161.1,#REF!,Other Current Liability,
"363,539",Bill,05/07/2023,1796-50535,,Superior Timber Floors QLD,Superior Timber Floors QLD,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"1,772.06","-1,772.06",#REF!,Accounts Payable,
"363,539",Bill,05/07/2023,1796-50535,,Superior Timber Floors QLD,Superior Timber Floors QLD,Flooring Installation,15/07/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,"1,610.96",,"1,610.96",#REF!,Cost of Goods Sold,161.1
"363,539",Bill,05/07/2023,1796-50535,,Australian Tax Office,Superior Timber Floors QLD,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,161.1,,161.1,#REF!,Other Current Liability,
"363,540",Bill,05/07/2023,1791-50524,,Superior Timber Floors QLD,Superior Timber Floors QLD,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"1,661.36","-1,661.36",#REF!,Accounts Payable,
"363,540",Bill,05/07/2023,1791-50524,,Superior Timber Floors QLD,Superior Timber Floors QLD,Flooring Installation,15/07/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,"1,510.33",,"1,510.33",#REF!,Cost of Goods Sold,151.03
"363,540",Bill,05/07/2023,1791-50524,,Australian Tax Office,Superior Timber Floors QLD,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,151.03,,151.03,#REF!,Other Current Liability,
"363,541",Bill,05/07/2023,1790,,Superior Timber Floors QLD,Superior Timber Floors QLD,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"1,661.36","-1,661.36",#REF!,Accounts Payable,
"363,541",Bill,05/07/2023,1790,,Superior Timber Floors QLD,Superior Timber Floors QLD,Flooring Installation,15/07/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,"1,510.33",,"1,510.33",#REF!,Cost of Goods Sold,151.03
"363,541",Bill,05/07/2023,1790,,Australian Tax Office,Superior Timber Floors QLD,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,151.03,,151.03,#REF!,Other Current Liability,
"363,542",Bill,05/07/2023,1793-50528,,Superior Timber Floors QLD,Superior Timber Floors QLD,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"2,215.14","-2,215.14",#REF!,Accounts Payable,
"363,542",Bill,05/07/2023,1793-50528,,Superior Timber Floors QLD,Superior Timber Floors QLD,Flooring Installation,15/07/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,"2,013.76",,"2,013.76",#REF!,Cost of Goods Sold,201.38
"363,542",Bill,05/07/2023,1793-50528,,Australian Tax Office,Superior Timber Floors QLD,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,201.38,,201.38,#REF!,Other Current Liability,
"363,543",Bill,05/07/2023,1792-50526,,Superior Timber Floors QLD,Superior Timber Floors QLD,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"1,960.38","-1,960.38",#REF!,Accounts Payable,
"363,543",Bill,05/07/2023,1792-50526,,Superior Timber Floors QLD,Superior Timber Floors QLD,Flooring Installation,15/07/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,"1,782.16",,"1,782.16",#REF!,Cost of Goods Sold,178.22
"363,543",Bill,05/07/2023,1792-50526,,Australian Tax Office,Superior Timber Floors QLD,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,178.22,,178.22,#REF!,Other Current Liability,
"363,544",Bill,05/07/2023,1795-50532,,Superior Timber Floors QLD,Superior Timber Floors QLD,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"4,430.23","-4,430.23",#REF!,Accounts Payable,
"363,544",Bill,05/07/2023,1795-50532,,Superior Timber Floors QLD,Superior Timber Floors QLD,Flooring Installation,15/07/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,"4,027.48",,"4,027.48",#REF!,Cost of Goods Sold,402.75
"363,544",Bill,05/07/2023,1795-50532,,Australian Tax Office,Superior Timber Floors QLD,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,402.75,,402.75,#REF!,Other Current Liability,
"363,545",Bill,05/07/2023,1789,,Superior Timber Floors QLD,Superior Timber Floors QLD,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"1,480.68","-1,480.68",#REF!,Accounts Payable,
"363,545",Bill,05/07/2023,1789,,Superior Timber Floors QLD,Superior Timber Floors QLD,Flooring Installation,15/07/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,"1,346.07",,"1,346.07",#REF!,Cost of Goods Sold,134.61
"363,545",Bill,05/07/2023,1789,,Australian Tax Office,Superior Timber Floors QLD,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,134.61,,134.61,#REF!,Other Current Liability,
"363,546",Bill,05/07/2023,1797-50538,,Superior Timber Floors QLD,Superior Timber Floors QLD,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"1,384.42","-1,384.42",#REF!,Accounts Payable,
"363,546",Bill,05/07/2023,1797-50538,,Superior Timber Floors QLD,Superior Timber Floors QLD,Flooring Installation,15/07/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,"1,258.56",,"1,258.56",#REF!,Cost of Goods Sold,125.86
"363,546",Bill,05/07/2023,1797-50538,,Australian Tax Office,Superior Timber Floors QLD,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,125.86,,125.86,#REF!,Other Current Liability,
"363,547",Bill,05/07/2023,1788,,Superior Timber Floors QLD,Superior Timber Floors QLD,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"3,189.36","-3,189.36",#REF!,Accounts Payable,
"363,547",Bill,05/07/2023,1788,,Superior Timber Floors QLD,Superior Timber Floors QLD,Flooring Installation,15/07/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,"2,899.42",,"2,899.42",#REF!,Cost of Goods Sold,289.94
"363,547",Bill,05/07/2023,1788,,Australian Tax Office,Superior Timber Floors QLD,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,289.94,,289.94,#REF!,Other Current Liability,
"363,548",Bill,05/07/2023,81626-1,,Watkins Electrical,Watkins Electrical,,12/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,198.8,-198.8,#REF!,Accounts Payable,
"363,548",Bill,05/07/2023,81626-1,,Watkins Electrical,Watkins Electrical,Maintenance,12/07/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,180.73,,180.73,#REF!,Cost of Goods Sold,18.07
"363,548",Bill,05/07/2023,81626-1,,Australian Tax Office,Watkins Electrical,Non-Cap. Acq. - Inc GST,12/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,18.07,,18.07,#REF!,Other Current Liability,
"363,549",Bill,05/07/2023,81592-1,,Watkins Electrical,Watkins Electrical,,12/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,173.45,-173.45,#REF!,Accounts Payable,
"363,549",Bill,05/07/2023,81592-1,,Watkins Electrical,Watkins Electrical,Maintenance,12/07/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,157.68,,157.68,#REF!,Cost of Goods Sold,15.77
"363,549",Bill,05/07/2023,81592-1,,Australian Tax Office,Watkins Electrical,Non-Cap. Acq. - Inc GST,12/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,15.77,,15.77,#REF!,Other Current Liability,
"363,550",Bill,05/07/2023,1031-50145,,National Resource Saftey Solutions,National Resource Saftey Solutions,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,353.5,-353.5,#REF!,Accounts Payable,
"363,550",Bill,05/07/2023,1031-50145,,National Resource Saftey Solutions,National Resource Saftey Solutions,Fire Safety Audits,15/07/2023,,2008 · Training & Welfare,,NCG,,1282 · Accounts Payable,,,321.36,,321.36,#REF!,Expense,32.14
"363,550",Bill,05/07/2023,1031-50145,,Australian Tax Office,National Resource Saftey Solutions,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,32.14,,32.14,#REF!,Other Current Liability,
"363,551",Bill,05/07/2023,1030,,National Resource Saftey Solutions,National Resource Saftey Solutions,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,540.5,-540.5,#REF!,Accounts Payable,
"363,551",Bill,05/07/2023,1030,,National Resource Saftey Solutions,National Resource Saftey Solutions,Fire Safety Audits,15/07/2023,,2008 · Training & Welfare,,NCG,,1282 · Accounts Payable,,,491.36,,491.36,#REF!,Expense,49.14
"363,551",Bill,05/07/2023,1030,,Australian Tax Office,National Resource Saftey Solutions,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,49.14,,49.14,#REF!,Other Current Liability,
"363,552",Bill,05/07/2023,167,,Huxcrete Pty Ltd,Huxcrete Pty Ltd,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"7,256.00","-7,256.00",#REF!,Accounts Payable,
"363,552",Bill,05/07/2023,167,,Huxcrete Pty Ltd,Huxcrete Pty Ltd,37 Pedelty lane,15/07/2023,,1445 · Purchases,,NCG,,1282 · Accounts Payable,,,"6,596.36",,"6,596.36",#REF!,Cost of Goods Sold,659.64
"363,552",Bill,05/07/2023,167,,Australian Tax Office,Huxcrete Pty Ltd,Non-Cap. Acq. - Inc GST,15/07/2023,NCG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,659.64,,659.64,#REF!,Other Current Liability,
"363,553",Bill,05/07/2023,38,,Paul Wignall,Paul Wignall,,15/07/2023,,1282 · Accounts Payable,,,,-SPLIT-,,,,"3,447.00","-3,447.00",#REF!,Accounts Payable,
"363,553",Bill,05/07/2023,38,,Paul Wignall,Paul Wignall,70 Seafarer drive,15/07/2023,,1445 · Purchases,,NRG,,1282 · Accounts Payable,,,"3,447.00",,"3,447.00",#REF!,Cost of Goods Sold,0
"363,553",Bill,05/07/2023,38,,Australian Tax Office,Paul Wignall,Not Registered for GST,15/07/2023,NRG,2200 · Tax Payable,,,,1282 · Accounts Payable,,,0,,0,#REF!,Other Current Liability,
